ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,AvgCH,AvgCD,AvgCA,missing_rodada,gols_pro_mandante,gols_pro_visitante,gols_sofridos_mandante,gols_sofridos_visitante,saldo_gols_mandante,saldo_gols_visitante,vitorias_mandante,vitorias_visitante,empates_mandante,empates_visitante,derrotas_mandante,derrotas_visitante,missing_colocacao_mandante,missing_colocacao_visitante,dia,mes,resultado_vitoria_mandante,resultado_vitoria_visitante,resultado_empate,gols_sofridos_media_mandante,gols_sofridos_media_visitante,gols_marcados_media_mandante,gols_marcados_media_visitante,vitorias_confronto_mandante,vitorias_confronto_visitante,empates_confronto,vitorias_seguidas_mandante,vitorias_seguidas_visitante,colocacao_media_mandante,colocacao_media_visitante,derrotas_seguidas_mandante,derrotas_seguidas_visitante,elo_mandante,elo_visitante,pred_resultado_empate,pred_resultado_vitoria_mandante,pred_resultado_vitoria_visitante,classe_real
1.0,1.061068702290076,0.0,39,45,0.886124194807291,0.8568229372485967,4,33,42,41,0.05263157894736842,0.6842105263157894,0.8022731628059823,0.8468487211442086,0.34530914590937506,0.11706906889102064,2.0,2.0,2.99,3.06,2.42,0,0.0,0.0,0.0,0.0,0.020361898296886314,-0.0036895321542065413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9,0.0,0,0,1,0.0,0.0,0.0,0.0,0.7142857142857142,0.5909090909090909,0.75,0.0,0.0,-0.02282393092010156,-0.069888812953493,0.0,0.0,-0.2025997165740507,1.4442861047210616,0.32907270177902714,0.34840636939448294,0.32252092882649,0
1.0,1.061068702290076,0.0,2,45,0.7921775400036931,0.542089818812117,12,41,42,41,0.21052631578947367,0.7894736842105263,0.6804606311117569,0.7857365966131702,0.3468926840148598,-0.494389340217036,4.0,2.0,2.86,3.08,2.51,0,0.0,0.0,0.0,0.0,0.020361898296886314,-0.0036895321542065413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9,0.0,1,0,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.4090909090909091,0.125,0.0,0.0,-0.02282393092010156,-0.069888812953493,0.0,0.0,-1.2658569085352052,-0.01811912196086931,0.31753804522006374,0.36554809570534563,0.31691385907459063,1
1.0,1.061068702290076,0.0,81,45,0.9081252463590347,0.8071458190976468,13,18,42,41,0.2631578947368421,0.42105263157894735,0.8017383575793147,0.6524764519488098,0.06204760717214169,0.006687565497441135,1.0,2.0,2.21,3.31,3.15,0,0.0,0.0,0.0,0.0,0.020361898296886314,-0.0036895321542065413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9,0.0,0,1,0,0.0,0.0,0.0,0.0,0.7142857142857142,0.2727272727272727,0.375,0.0,0.0,-0.02282393092010156,-0.069888812953493,0.0,0.0,-0.17744754716078392,-0.03293638656300582,0.33174977894107427,0.3015469010604897,0.36670331999843603,2
1.0,1.061068702290076,0.0,48,45,0.8400699646473958,0.708418767979448,14,38,42,41,0.3157894736842105,0.6842105263157894,0.6504109653283912,0.767362555943629,-0.11646066817777731,-1.4511762319523853,0.0,1.0,2.62,2.91,2.87,0,0.0,0.0,0.0,0.0,0.020361898296886314,-0.0036895321542065413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9,0.0,0,1,0,0.0,0.0,0.0,0.0,0.09523809523809523,0.18181818181818182,0.0625,0.0,0.0,-0.02282393092010156,-0.069888812953493,0.0,0.0,-1.2415151502107773,-0.6198300943002598,0.2958300390883098,0.43853220948696053,0.26563775142472973,2
1.0,1.061068702290076,0.0,49,45,0.8365945588214728,0.6811110161892913,19,48,42,41,0.42105263157894735,0.8421052631578947,0.6247902593092511,0.7964684833870479,-0.4676350762663283,0.0030057574566877978,2.0,0.0,1.79,3.34,4.62,0,0.0,0.0,0.0,0.0,0.020361898296886314,-0.0036895321542065413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02282393092010156,-0.069888812953493,0.0,0.0,-0.24155921644618472,-0.41360462190773245,0.31753804522006374,0.36554809570534563,0.31691385907459063,1
1.0,1.061068702290076,0.0,44,45,0.8991658406776509,0.9711241625770142,22,26,42,41,0.5263157894736843,0.5789473684210527,0.7657007387172505,0.7964684833870479,-0.05163552458161856,-0.04095900311107167,2.0,1.0,1.59,3.79,5.53,0,0.0,0.0,0.0,0.0,0.020361898296886314,-0.0036895321542065413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9,0.0,1,0,0,0.0,0.0,0.0,0.0,0.47619047619047616,1.0,0.625,0.0,0.0,-0.02282393092010156,-0.069888812953493,0.0,0.0,1.0385794895983609,-0.13875639640632703,0.35792210784898615,0.33921896032626553,0.3028589318247484,1
1.0,1.061068702290076,0.0,20,45,0.8729090091420953,0.840985657625906,28,2,42,41,0.5789473684210527,0.3684210526315789,0.7780716141907609,0.7468494646919039,0.2804392421113345,-0.6674624380436176,0.0,1.0,1.97,3.21,3.93,0,0.0,0.0,0.0,0.0,0.020361898296886314,-0.0036895321542065413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9,0.0,0,1,0,0.0,0.0,0.0,0.0,0.38095238095238093,0.4545454545454546,0.4375,0.0,0.0,-0.02282393092010156,-0.069888812953493,0.0,0.0,-0.4749282545934767,-0.9312130003918903,0.35043847507630943,0.4282094964950167,0.22135202842867396,2
1.0,1.0612155020551968,0.0,25,45,0.8906699507359097,0.9156559984339911,45,21,42,41,0.5789473684210527,0.5263157894736843,0.8117269675407692,0.8585953647448308,-0.05897178147142172,0.1415306431307776,2.0,1.0,3.7,2.95,2.16,0,0.0,0.0,0.0,0.0,0.020361898296886314,-0.0036895321542065413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9333333333333333,0.0,1,0,0,0.0,0.0,0.0,0.0,0.7619047619047619,0.5909090909090909,0.875,0.0,0.0,-0.02282393092010156,-0.069888812953493,0.0,0.0,-0.18915490443970767,1.9076795175430468,0.3857269455263759,0.26048647090777843,0.35378658356584575,1
1.0,1.0612155020551968,0.0,44,45,0.8991658406776509,0.9711241625770142,47,46,42,41,0.631578947368421,0.5789473684210527,0.7657007387172505,0.6841173416118116,0.00039884696844762093,-0.3234294090761925,2.0,1.0,1.89,3.3,4.13,0,0.0,0.0,0.0,0.0,0.020361898296886314,-0.0036895321542065413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9333333333333333,0.0,1,0,0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,-0.02282393092010156,-0.069888812953493,0.0,0.0,1.0277336576428981,-0.6630184420160109,0.3653326236345362,0.22104539133442197,0.4136219850310417,1
1.0,1.061362301820317,0.0,62,45,0.848840709928379,0.7854555477110323,8,16,42,41,0.5263157894736843,0.5789473684210527,0.7024432050920628,0.7544137449486421,0.05070046793783807,0.14595314600119833,4.0,0.0,2.39,3.03,3.11,0,0.0,0.0,0.0,0.0,0.020361898296886314,-0.0036895321542065413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9666666666666667,0.0,1,0,0,0.0,0.0,0.0,0.0,0.42857142857142855,0.6818181818181819,0.6875,0.0,0.0,-0.02282393092010156,-0.069888812953493,0.0,0.0,1.2520232539419447,0.9559337394192643,0.32806371254291034,0.40304195884774024,0.26889432860934953,1
